,id,title,type,description,release_year,age_certification,age_certification.1,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,documentation,drama,comedy,thriller,crime,romance,action,GenreCt,OtherGenr,US,IN,GB,JP,KR,FR,ES,CA,MX,OtherCountry,SciFi War,Stand-up Comedy,Family Drama,Murder Mystery,Holidays,Top Secret,War Documentary,College Life,Father & Son Drama,Adventure,Love Story,Gangster
2304,ts56636,My Sassy Girl,SHOW,"Set in the Joseon Dynasty period, a romance takes place between cold-hearted Gyun-Woo and Princess Hyemyung who causes troubles.",2017,TV-14,PG,44,"['comedy', 'romance']",['KR'],1.0,tt6175760,6.8,597.0,6.648,7.3,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1.1905251378529265,1.1905875517571558,56.71353579787771,1.1905267854993054,1.190523050410738,31.38122351072392,1.1905010497525061,1.1905092621358475,1.1905130817000702,1.1904761905507426,1.1905432059457215,1.1905353757933594
2305,ts92825,Lego Jurassic World: The Secret Exhibit,SHOW,How the characters from Lego Jurassic World: The Indominus Escape (2016) and Jurassic World (2015) got involved with the Park.,2018,TV-Y,G,22,"['action', 'comedy', 'family', 'scifi', 'animation']",['US'],1.0,tt9322614,6.1,257.0,14.703,7.2,0,0,1,0,0,0,1,5,3,1,0,0,0,0,0,0,0,0,0,35.69957053474892,1.0417411850409242,1.0416864798515664,1.041666666713286,28.617126035621716,1.0416996744258165,1.0416666979863727,1.041680810847469,26.30808021966574,1.0416666672459451,1.0416963384215334,1.0417186894307164
2306,ts76509,Beyond Stranger Things,SHOW,"Secrets from the ""Stranger Things 2"" universe are revealed as cast and guests discuss the latest episodes with host Jim Rash. Caution: spoilers ahead!",2017,TV-14,PG,21,['documentation'],['US'],1.0,tt7570990,7.4,1883.0,98.48,7.5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0416817571973453,36.05234249592033,1.0417036754525684,1.0416666667290408,15.68812405461322,1.0416752483237395,13.894058524725292,1.0416857947200187,1.0417065607959721,26.031993677414217,1.0416829307407658,1.0416786133675062
2307,tm321628,Rip Tide,MOVIE,"There comes a point in everyone’s life when you have to make a decision about the direction you’re going to take. For newly-18 American fashion model Cora, that time is now. She’s moved to an Australian coastal town to be with her favourite aunt, after a 'fashion faux pas’ back home.",2017,,OTHERS,85,"['family', 'drama', 'action', 'thriller']",['AU'],,tt6262764,5.4,3472.0,17.594,6.2,0,1,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0.6410329923719746,0.6410404279690368,45.06318472994676,0.641027646221892,14.884236664861778,0.6410436493639654,0.6410429125934584,0.6410323332734433,22.260164161612703,12.664097554085215,0.6410498906007587,0.6410470370990062
2308,tm299504,Holy Camp!,MOVIE,"María and Susana, two rebellious teenagers, spend the summer in a catholic camp. While they are grounded during a weekend, the most unexpected arrival in the most unexpected way will change their feelings about life, love and freedom.",2017,,OTHERS,109,"['comedy', 'romance', 'european']",['ES'],,tt5176252,6.2,4052.0,10.133,6.8,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0.6410476423083157,0.6410272089187001,29.011665785761732,0.6410258663181262,0.6410256410772637,10.406056559860467,0.6410256410658725,0.641033027004691,47.084434600769306,0.6410256410845543,0.6410576351684606,8.369574750662508
2309,ts55978,Samurai Gourmet,SHOW,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.,2017,,OTHERS,21,['comedy'],['JP'],1.0,tt6304676,8.1,2099.0,5.009,7.9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.3889125308243424,1.3889514903639986,52.87956775445548,1.388979707576707,1.3888906394592975,1.3889438135572207,1.3888888889675612,18.180056452151838,16.4399910945567,1.3888888890012439,1.3889490759598977,1.3889796631257267
2310,tm346939,Alaska Is a Drag,MOVIE,"Tough, but diva fabulous, Leo, an aspiring drag superstar, is stuck working in a fish cannery in Alaska. He and his twin sister are trapped in the monotony of fist fights and fish guts. Out of necessity, Leo learned to fight back, which catches the attention of the local boxing coach. When a new boy moves to town and wants to be his sparring partner, Leo has to face the real reason he's stuck in Alaska.",2017,,OTHERS,83,['drama'],['US'],,tt4341390,6.5,421.0,1.912,6.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.43861840431144594,0.4386102569964254,52.03845961029378,0.43860402494737816,0.43860110611560493,15.854977835931571,0.43859753547467784,0.4386126349836403,16.297345553933653,12.300359913029405,0.4386111707689747,0.4386019532134553
2311,ts77520,Mob Psycho 100,SHOW,An inconspicuous middle school psychic confronts an organization plotting to use other psychics to rule the world. Based on the hit manga.,2018,,OTHERS,24,"['action', 'scifi', 'thriller']",['JP'],1.0,tt7701694,5.2,521.0,12.055,5.9,0,0,0,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1.1905149555074686,28.19589590749669,1.1905016260214514,1.190476194565942,1.1904761906843289,22.0865827841849,1.1904762842478553,39.00298771516026,1.190506039973586,1.1904838744630017,1.190556496491444,1.1905419312030892
2312,tm326704,Parmanu: The Story of Pokhran,MOVIE,"A look at India's second confidential nuclear test series at Pokhran lead by Dr. APJ Abdul Kalam, during the time of PM Atal Bihari Vajpayee's tenure.",2018,,OTHERS,129,"['drama', 'action', 'history']",['IN'],,tt6826438,7.6,23973.0,5.7,7.0,0,1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0.9260169387738646,0.9259306452583363,0.9259466523063374,0.9259432154712467,0.9259271062632366,0.9259397381097789,51.09512804985854,0.9259540777758932,0.9259440097172204,0.9259259259903212,27.363753130496445,13.207590509978791
2313,tm365824,Zero,MOVIE,"Short in stature but big on love, a bachelor meets two very different women who broaden his horizons and help him find purpose in life.",2018,,OTHERS,180,"['romance', 'drama', 'comedy', 'scifi', 'thriller', 'fantasy', 'european']",['IN'],,tt9082316,5.2,27346.0,6.89,5.3,0,1,1,1,0,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0.925934869346379,0.9259404174421079,0.9259661801818808,0.9259339727120894,0.9259589209096608,31.734779610077712,0.9259259262257747,0.9259460954583634,0.9259639923350635,0.9259275480067192,29.846842400956458,30.084880066347807
